"","Two_grams","Frequency"
"1","​ milltown",25
"2","\u0092 d",111
"3","\u0092 m",38
"4","\u0092 s",232
"5","\u0092 t",76
"6","\u0093 america",39
"7","\u0093 but",26
"8","\u0093 he",37
"9","\u0093 i",101
"10","\u0093 if",26
"11","\u0093 it",111
"12","\u0093 old",38
"13","\u0093 sometimes",19
"14","\u0093 the",32
"15","\u0093 then",26
"16","\u0093 waiting",19
"17","\u0093 we",26
"18","\u0094 blackman",26
"19","\u0094 he",121
"20","\u0094 heldt",37
"21","\u0094 maples",26
"22","\u0094 said",70
"23","\u0094 there",33
"24","\u0095 austin",26
"25","\u0095 buy",35
"26","\u0095 james",36
"27","\u0095 last",47
"28","\u0095 miles",20
"29","\u0095 solicit",24
"30","\u0096 a",48
"31","\u0096 acres",20
"32","\u0096 and",19
"33","\u0096 dont",47
"34","\u0096 lilly",30
"35","\u0096 while",20
"36","\u0096 why",37
"37","\u0097 and",67
"38","\u0097 are",32
"39","\u0097 but",47
"40","\u0097 even",39
"41","\u0097 let",32
"42","\u0097 lou",32
"43","\u0097 many",47
"44","\u0097 mark",32
"45","\u0097 with",67
"46","½ years",38
"47","a about",51
"48","a absolutely",64
"49","a act",29
"50","a addict",42
"51","a agreed",62
"52","a am",23
"53","a and",87
"54","a animal",55
"55","a auburn",33
"56","a autograph",19
"57","a awesome",37
"58","a baby",77
"59","a bachelor",44
"60","a backandforth",34
"61","a backyard",22
"62","a bad",350
"63","a baker",122
"64","a balance",33
"65","a band",51
"66","a bang",38
"67","a bar",30
"68","a barge",19
"69","a barn",41
"70","a basement",29
"71","a basic",40
"72","a basket",22
"73","a basketball",70
"74","a battle",186
"75","a battleground",24
"76","a bbq",49
"77","a beach",38
"78","a bear",78
"79","a beast",151
"80","a beatup",35
"81","a beautiful",223
"82","a because",26
"83","a bed",37
"84","a beer",90
"85","a beetle",35
"86","a beginning",59
"87","a behavior",31
"88","a believer",60
"89","a bet",21
"90","a better",279
"91","a beverage",30
"92","a biased",43
"93","a biblical",40
"94","a bid",58
"95","a big",996
"96","a bigger",77
"97","a billion",25
"98","a billy",59
"99","a binder",36
"100","a bird",82
"101","a birdthe",29
"102","a birthday",40
"103","a bit",987
"104","a bitdisturbing",42
"105","a black",87
"106","a blackberry",19
"107","a blackhawks",37
"108","a blackjack",41
"109","a blank",79
"110","a blanket",25
"111","a blast",68
"112","a blender",29
"113","a blink",39
"114","a blister",38
"115","a block",111
"116","a blog",92
"117","a blogger",32
"118","a bloody",92
"119","a blow",29
"120","a blue",29
"121","a blueprint",37
"122","a blunt",22
"123","a blush",19
"124","a blustery",35
"125","a boast",39
"126","a boeing",41
"127","a boil",47
"128","a bond",20
"129","a bonus",40
"130","a book",362
"131","a booking",24
"132","a booming",23
"133","a boozer",21
"134","a border",39
"135","a bowl",174
"136","a box",128
"137","a brain",20
"138","a brand",41
"139","a bread",24
"140","a break",95
"141","a breakfast",62
"142","a breakup",31
"143","a breath",38
"144","a bret",19
"145","a brief",52
"146","a briggs",75
"147","a brilliant",64
"148","a broad",90
"149","a broader",23
"150","a broadly",50
"151","a broken",32
"152","a brother",62
"153","a brown",21
"154","a bucket",22
"155","a budget",30
"156","a budgetfriendly",30
"157","a build",36
"158","a building",78
"159","a bulldog",38
"160","a bullet",52
"161","a bulletproof",34
"162","a bully",42
"163","a bullyboy",26
"164","a bunch",240
"165","a burger",34
"166","a bus",38
"167","a business",128
"168","a busy",64
"169","a by",38
"170","a cab",22
"171","a cage",21
"172","a calf",21
"173","a california",41
"174","a call",54
"175","a camera",76
"176","a campaign",39
"177","a cancer",33
"178","a candidate",60
"179","a cannibalistic",24
"180","a canon",24
"181","a cap",33
"182","a car",100
"183","a carboat",27
"184","a card",122
"185","a careful",40
"186","a caring",26
"187","a carpet",25
"188","a carrieror",20
"189","a carwash",44
"190","a case",35
"191","a cash",28
"192","a casting",36
"193","a castle",33
"194","a cat",45
"195","a catch",38
"196","a cattle",41
"197","a cause",73
"198","a cavity",23
"199","a celebration",50
"200","a cello",22
"201","a center",32
"202","a century",47
"203","a ceremony",19
"204","a certain",167
"205","a cessna",40
"206","a cfl",55
"207","a chair",26
"208","a challenge",125
"209","a challenging",31
"210","a champion",20
"211","a championship",37
"212","a chance",301
"213","a change",114
"214","a character",99
"215","a characteristic",44
"216","a charmer",64
"217","a chartered",30
"218","a chat",43
"219","a check",64
"220","a cheeky",43
"221","a cheering",46
"222","a chef",22
"223","a chicago",38
"224","a chick",34
"225","a child",337
"226","a childhood",49
"227","a childish",40
"228","a childrens",23
"229","a chinaonly",28
"230","a chinese",43
"231","a choice",219
"232","a chorus",28
"233","a christian",66
"234","a christmas",33
"235","a chunk",39
"236","a church",109
"237","a cigarette",20
"238","a circuit",26
"239","a city",37
"240","a civilised",38
"241","a class",55
"242","a classic",66
"243","a clean",56
"244","a cleaner",28
"245","a clear",117
"246","a clever",38
"247","a client",37
"248","a climate",27
"249","a close",69
"250","a closeout",45
"251","a closer",45
"252","a cloud",20
"253","a club",21
"254","a clue",31
"255","a coach",50
"256","a cocktail",29
"257","a code",67
"258","a coffee",107
"259","a cold",45
"260","a collar",23
"261","a collection",25
"262","a college",71
"263","a columnist",31
"264","a combined",108
"265","a combo",38
"266","a comefrombehind",22
"267","a comfy",63
"268","a comic",40
"269","a comment",55
"270","a commercial",43
"271","a commitment",117
"272","a common",43
"273","a communal",39
"274","a community",179
"275","a company",77
"276","a competitive",63
"277","a complete",84
"278","a completely",30
"279","a compliment",44
"280","a compost",29
"281","a compromise",29
"282","a computer",111
"283","a computers",39
"284","a concept",31
"285","a concern",111
"286","a concert",37
"287","a conclusion",39
"288","a conference",36
"289","a confidence",39
"290","a conflict",42
"291","a confluence",33
"292","a congresswoman",35
"293","a consistent",31
"294","a constitutional",42
"295","a consultant",32
"296","a contemporary",64
"297","a contentious",24
"298","a contract",65
"299","a control",31
"300","a controversial",20
"301","a convenient",29
"302","a conversation",45
"303","a cool",36
"304","a cop",46
"305","a copy",94
"306","a corker",31
"307","a corrupt",27
"308","a corset",76
"309","a cottage",38
"310","a counter",118
"311","a countertop",39
"312","a country",31
"313","a county",43
"314","a couple",704
"315","a court",46
"316","a cover",19
"317","a cow",57
"318","a crack",72
"319","a crazy",147
"320","a creature",57
"321","a credit",71
"322","a crew",59
"323","a crib",36
"324","a crime",26
"325","a criminal",24
"326","a crisis",57
"327","a crisp",36
"328","a critical",34
"329","a crop",26
"330","a cross",167
"331","a crowd",39
"332","a crucial",45
"333","a crush",62
"334","a cs",26
