"","Three_grams","Frequency"
"1","\u0092 d be",37
"2","\u0092 d like",37
"3","\u0092 d love",37
"4","\u0092 m trying",38
"5","\u0092 re magic",16
"6","\u0092 s a",74
"7","\u0092 s athletic",32
"8","\u0092 s hard",37
"9","\u0092 s just",37
"10","\u0092 s parents",39
"11","\u0092 t be",39
"12","\u0092 t know",26
"13","\u0093 america is",39
"14","\u0093 but we",26
"15","\u0093 he was",37
"16","\u0093 i \u0092",38
"17","\u0093 i made",32
"18","\u0093 i think",31
"19","\u0093 if coach",26
"20","\u0093 it \u0092",111
"21","\u0093 old patterns",38
"22","\u0093 sometimes they",19
"23","\u0093 the owner",32
"24","\u0093 then shame",26
"25","\u0093 waiting isnt",19
"26","\u0093 we will",26
"27","\u0094 blackman said",26
"28","\u0094 he said",102
"29","\u0094 he says",19
"30","\u0094 heldt said",37
"31","\u0094 maples said",26
"32","\u0094 said bobby",37
"33","\u0094 said michele",33
"34","\u0094 there must",33
"35","\u0095 austin long",26
"36","\u0095 buy some",35
"37","\u0095 james brown",36
"38","\u0095 last friday",47
"39","\u0095 miles burris",20
"40","\u0095 solicit volunteers",24
"41","\u0096 a dam",48
"42","\u0096 acres of",20
"43","\u0096 and the",19
"44","\u0096 dont miss",47
"45","\u0096 lilly manning",30
"46","\u0096 while the",20
"47","\u0096 why is",37
"48","\u0097 and start",35
"49","\u0097 and the",32
"50","\u0097 are boring",32
"51","\u0097 but it",47
"52","\u0097 even after",39
"53","\u0097 let him",32
"54","\u0097 lou anna",32
"55","\u0097 many with",47
"56","\u0097 mark hollis",32
"57","\u0097 with help",35
"58","\u0097 with the",32
"59","½ years as",38
"60","a about this",50
"61","a absolutely awful",64
"62","a act in",29
"63","a addict but",42
"64","a agreed my",62
"65","a am all",23
"66","a and me",30
"67","a and ur",57
"68","a animal style",55
"69","a auburn color",33
"70","a autograph session",19
"71","a awesome actresslove",37
"72","a baby boy",25
"73","a baby girl",25
"74","a bachelor of",44
"75","a backandforth he",34
"76","a backyard barbecue",22
"77","a bad economy",37
"78","a bad influence",63
"79","a bad person",75
"80","a bad reason",37
"81","a bad thing",26
"82","a bad time",33
"83","a bad way",26
"84","a baker a",28
"85","a baker back",22
"86","a baker in",28
"87","a baker papalexis",44
"88","a balance of",33
"89","a band of",32
"90","a band that",18
"91","a bang fans",38
"92","a bar some",30
"93","a barge make",19
"94","a barn theres",41
"95","a barrage of",18
"96","a basement by",29
"97","a basic income",39
"98","a basket full",22
"99","a basketball team",70
"100","a battle and",36
"101","a battle cry",35
"102","a battle it",31
"103","a battle like",42
"104","a battle u",39
"105","a battleground state",24
"106","a beach vacation",36
"107","a bear it",40
"108","a bear of",37
"109","a beast he",51
"110","a beast welcome",55
"111","a beast with",34
"112","a beatup and",35
"113","a beautiful day",71
"114","a beautiful girlfriend",30
"115","a beautiful job",26
"116","a beautiful light",31
"117","a beautiful new",45
"118","a because we",26
"119","a bed without",35
"120","a beer festival",36
"121","a beetle well",35
"122","a beginning that",29
"123","a beginning to",30
"124","a behavior disorder",31
"125","a believer to",60
"126","a bet on",21
"127","a better assignment",30
"128","a better case",18
"129","a better defensive",38
"130","a better opportunity",33
"131","a better place",17
"132","a better player",43
"133","a better spot",39
"134","a beverage or",30
"135","a biased opinion",43
"136","a biblical verse",40
"137","a bid for",56
"138","a big a",36
