"","Four_grams","Frequency"
"1"," lilly manning june",30
"2","\u0092 d be the",37
"3","\u0092 d like to",37
"4","\u0092 d love to",37
"5","\u0092 m trying to",38
"6","\u0092 re magic coach",16
"7","\u0092 s a credit",37
"8","\u0092 s a sad",37
"9","\u0092 s athletic director",32
"10","\u0092 s hard to",37
"11","\u0092 s just a",37
"12","\u0092 s parents continue",39
"13","\u0092 t be happier",39
"14","\u0092 t know at",26
"15","\u0093 america is better",39
"16","\u0093 but we don",26
"17","\u0093 he was really",37
"18","\u0093 i \u0092 m",38
"19","\u0093 i made the",32
"20","\u0093 i think a",31
"21","\u0093 if coach haith",26
"22","\u0093 it \u0092 s",111
"23","\u0093 old patterns some",38
"24","\u0093 sometimes they get",19
"25","\u0093 the owner dan",32
"26","\u0093 then shame on",26
"27","\u0093 waiting isnt something",19
"28","\u0093 we will assess",26
"29","\u0094 blackman said \u0093",26
"30","\u0094 he said \u0093",71
"31","\u0094 he says \u0093",19
"32","\u0094 heldt said \u0093",37
"33","\u0094 maples said \u0093",26
"34","\u0094 said bobby beathard",37
"35","\u0094 said michele renou",33
"36","\u0094 there must be",33
"37","\u0095 austin long yard",26
"38","\u0095 buy some new",35
"39","\u0095 james brown yard",36
"40","\u0095 last friday art",47
"41","\u0095 miles burris lb",20
"42","\u0095 solicit volunteers to",24
"43","\u0096 a dam and",48
"44","\u0096 acres of flame",20
"45","\u0096 and the motherdaughter",19
"46","\u0096 dont miss the",47
"47","\u0096 while the tsukamotos",20
"48","\u0096 why is the",37
"49","\u0097 and start small",35
"50","\u0097 and the school",32
"51","\u0097 are boring stars",32
"52","\u0097 but it hardly",47
"53","\u0097 even after their",39
"54","\u0097 let him consider",32
"55","\u0097 lou anna k",32
"56","\u0097 many with a",47
"57","\u0097 mark hollis \u0097",32
"58","\u0097 with help \u0097",35
"59","\u0097 with the exception",32
"60","½ years as an",38
"61","a about this year",50
"62","a act in his",29
"63","a addict but i",42
"64","a agreed my programs",62
"65","a am all arxfit",23
"66","a and me loves",30
"67","a and ur not",57
"68","a animal style please",55
"69","a autograph session let",19
"70","a awesome actresslove ya",37
"71","a baby boy urinated",25
"72","a baby girl peed",25
"73","a bachelor of science",44
"74","a backandforth he had",34
"75","a backyard barbecue but",22
"76","a bad economy and",37
"77","a bad influence on",63
"78","a bad time to",33
"79","a bad way to",26
"80","a baker a baker",28
"81","a baker back in",22
"82","a baker in training",28
"83","a baker papalexis was",44
"84","a balance of the",33
"85","a band of bounty",32
"86","a band that has",18
"87","a bang fans are",38
"88","a bank the suit",15
"89","a bar some beerz",30
"90","a bare field of",15
"91","a barge make the",19
"92","a barn theres a",41
"93","a barrage of skeptical",18
"94","a basement by woodson",29
"95","a basket full of",22
"96","a battle and we",36
"97","a battle cry to",35
"98","a battle it was",31
"99","a battle like crazy",42
"100","a battle u will",39
"101","a battleground state and",24
"102","a be a vs",15
"103","a bear it was",40
"104","a bear of a",37
"105","a beast he looked",51
"106","a beast welcome to",55
"107","a beast with it",34
"108","a beatup and oftbeaten",35
"109","a beautiful day today",64
"110","a beautiful girlfriend nora",30
"111","a beautiful job brad",26
"112","a beautiful light filled",31
"113","a beautiful new school",45
"114","a because we are",26
"115","a bed without sheets",35
"116","a beer festival and",36
"117","a beetle well now",35
"118","a beginning that renews",29
"119","a beginning to getting",30
"120","a behavior disorder or",31
"121","a believer to make",60
"122","a bet on higher",21
"123","a better assignment but",30
"124","a better case for",18
"125","a better defensive left",38
"126","a better opportunity quenneville",33
"127","a better player than",43
"128","a better sense of",15
"129","a better spot to",39
"130","a beverage or an",30
"131","a biased opinion blake",43
"132","a biblical verse about",40
"133","a bid for german",41
"134","a bid for power",15
"135","a big a crib",36
"136","a big bow that",35
"137","a big boy so",50
"138","a big celebration not",43
"139","a big deal of",35
"140","a big fan of",39
"141","a big ol hangover",42
"142","a big one which",48
"143","a big part of",23
"144","a big physical beast",49
"145","a big plastic contraption",32
"146","a big salad and",34
"147","a big standardized test",70
"148","a big supporter of",30
"149","a big sword for",32
"150","a big sword went",32
"151","a big sword you",32
"152","a big thank you",34
"153","a big transition for",45
"154","a big win tonight",30
"155","a big you to",27
"156","a bigger applause than",56
"157","a bigger garden our",18
"158","a billion copyright lawsuit",15
"159","a billy donovan coached",45
"160","a binder but you",36
"161","a bird if your",29
"162","a bird im a",29
"163","a bird that is",16
"164","a birthday gift this",37
"165","a bit ambivalent about",15
"166","a bit an all",36
"167","a bit baggy but",28
"168","a bit cheaper than",22
"169","a bit difficult now",26
"170","a bit elderly for",17
"171","a bit enthusiastic of",24
"172","a bit expensive but",51
"173","a bit foggy around",30
"174","a bit less bubbly",46
"175","a bit like larry",31
"176","a bit of a",91
"177","a bit of double",32
"178","a bit of encouragement",20
"179","a bit of fuss",34
"180","a bit of navel",47
"181","a bit of sarcasmoh",31
"182","a bit of the",44
"183","a bit older looking",20
"184","a bit stir crazy",28
"185","a bit sweet apparently",44
"186","a bit too ironic",15
"187","a black cherry soda",31
"188","a black hole for",16
"189","a black man convicted",23
"190","a blackberry an ipad",19
"191","a blackhawks scout in",37
"192","a blackjack program downstream",41
"193","a blank planet not",38
"194","a blank stare and",36
"195","a blanket and surrounded",25
"196","a blast last night",36
"197","a blast sticky messy",18
"198","a blender so there",29
"199","a blink click drag",39
"200","a blister problem early",38
"201","a block away from",59
"202","a block farther at",32
"203","a blog hop that",35
"204","a blog is most",29
"205","a blogger poll not",32
"206","a bloody national velvet",26
"207","a bloody or but",66
"208","a blow torch in",29
"209","a blue cross product",24
"210","a blueprint for future",37
"211","a blunt come on",22
"212","a blush color and",19
"213","a boast he hoped",39
"214","a boated salmon after",15
"215","a boeing passenger jet",41
"216","a boil by summer",47
"217","a bomb during a",18
"218","a bond of partners",19
"219","a bonus i found",40
"220","a book about crimes",30
"221","a book about salumi",37
"222","a book but we",19
"223","a book for a",31
"224","a book i think",40
"225","a book i will",25
"226","a book on lazy",46
"227","a book so its",28
"228","a book tv has",38
"229","a book with a",32
"230","a booking fee that",24
"231","a booming solarenergy industry",23
"232","a boozer however there",21
"233","a border collie and",39
"234","a boundary commissioner he",15
"235","a bowl game and",45
"236","a bowl of chili",19
"237","a bowl of creamy",54
"238","a bowl stir in",35
"239","a box grater and",17
"240","a box of rice",41
"241","a brain youre at",20
"242","a brand new book",40
"243","a bread business help",24
"244","a break in the",39
"245","a break to that",21
"246","a breakup this shirt",31
"247","a breath of fresh",38
"248","a bret easton ellis",19
"249","a brief meeting where",47
"250","a briggs riley i",75
"251","a brilliant cultural anthropologist",33
"252","a brilliant excerpt i",25
"253","a broad boyish smile",21
"254","a broad range of",33
"255","a broad selection of",36
"256","a broadcast and the",17
"257","a broader perspectivemalathy drew",23
"258","a broadly consumed drink",50
"259","a broken consumer reimbursement",32
"260","a brother j sydney",36
"261","a brother steven westerfeld",26
"262","a brown bear that",21
"263","a buddha or something",15
"264","a budget by may",30
"265","a budgetfriendly and highend",30
"266","a building between am",38
"267","a building on the",20
"268","a building where the",20
"269","a bulk email i",16
"270","a bulldog eating mayonaise",38
"271","a bullet that came",16
"272","a bulletproof vest joseph",34
"273","a bully as a",21
"274","a bully is shown",21
"275","a bullyboy depiction of",26
"276","a bunch but continues",28
"277","a bunch latour knorrcetina",48
"278","a bunch of knots",18
"279","a bunch of older",23
"280","a bunch of records",52
"281","a bunch of smiling",23
"282","a burger well have",29
"283","a burnedout former rock",16
"284","a bus number on",23
"285","a business consultant is",31
"286","a business method can",38
"287","a business method is",38
"288","a business they are",17
"289","a busy artery connecting",46
"290","a by al harrington",30
"291","a cab from gatwick",22
"292","a cage that was",21
"293","a calf injury then",21
"294","a california school district",41
"295","a camera inside a",40
"296","a camera or a",31
"297","a campaign official they",30
"298","a cancer patient who",33
"299","a candidate for mayor",27
"300","a candidate for the",20
"301","a cannibalistic ogre and",24
"302","a canon of work",24
"303","a cap on taxes",33
"304","a car dealers customer",21
"305","a car whose driver",36
"306","a carboat to get",27
"307","a card chip standard",34
"308","a card event for",39
"309","a careful balance between",23
"310","a careful diet for",17
"311","a caring and loving",26
"312","a carrieror both when",20
"313","a carwash vacuum that",44
"314","a case that calls",34
"315","a cash only thing",25
"316","a cast member holding",17
"317","a casting workshop nodding",36
"318","a castle with a",33
"319","a cat never enough",44
"320","a catch the dissident",38
"321","a cause for the",34
"322","a cause i was",35
"323","a ceaseless flight from",17
"324","a celebration of spring",47
"325","a century look like",37
"326","a ceremony saturday in",19
"327","a certain age calling",28
"328","a certain decade are",34
"329","a certain style he",45
"330","a cessna its not",40
"331","a cfl with a",55
"332","a chair his costume",17
"333","a challenge because you",46
"334","a challenge for some",36
"335","a challenge for them",40
"336","a challenging landscape for",31
"337","a championship and we",33
"338","a chance as much",26
"339","a chance dont count",64
"340","a chance they can",22
"341","a chance to relax",37
"342","a chance to talk",29
"343","a chance to win",51
"344","a change \u0094 said",33
"345","a change after hearing",31
"346","a change nine years",29
"347","a character and an",47
"348","a character or two",43
"349","a characteristic of wisdom",44
"350","a chartered aircraft service",30
"351","a chat celia pacquola",40
"352","a check for the",38
"353","a check on the",26
"354","a cheeky little move",43
"355","a cheering crowd of",46
"356","a chef who isnt",22
"357","a cheque is passed",17
"358","a chicago neighborhood not",38
"359","a chick wit big",34
"360","a chicken soup with",16
"361","a child at last",32
"362","a child hendersonville ffa",15
"363","a child parker decided",45
"364","a child supportcustody case",66
"365","a child trying to",30
"366","a child which is",34
"367","a child will cost",26
"368","a child with a",29
"369","a childhood admirer standing",49
"370","a childrens birthday party",17
"371","a chinaonly internet security",28
"372","a chinese tour de",43
"373","a choice between a",31
"374","a choice but falling",53
"375","a choice of scallop",44
"376","a choice that you",30
"377","a choice what those",61
"378","a chorus of rocky",27
"379","a christian author who",33
"380","a christian or a",21
"381","a christmas package i",28
"382","a chunk of equity",39
"383","a church or synagogue",29
"384","a church where celebrants",61
"385","a cigarette tax increase",20
"386","a circuit because running",26
"387","a civilised community against",38
"388","a classic bob mouldinspired",17
"389","a classic catch conundrum",19
"390","a classic love story",24
"391","a cleaner tape theres",17
"392","a clear indication of",44
"393","a clear inflection point",30
"394","a clear spica glitter",15
"395","a clearer picture of",15
"396","a clever way to",34
"397","a client and should",31
"398","a cliff but they",17
"399","a climate of fear",27
"400","a clipaaron jones returned",15
"401","a close friend in",41
"402","a close personal friendship",17
"403","a closeout for both",45
"404","a closer image of",31
"405","a cloud and a",16
"406","a club on the",16
"407","a clue what you",30
"408","a coach and where",21
"409","a coach that will",28
"410","a cocktail in the",29
"411","a code and password",34
"412","a code which instructs",19
"413","a coffee shop dont",57
"414","a coffee while i",49
"415","a cold hit as",27
"416","a cold steel table",18
"417","a collar round its",23
"418","a collection of short",25
"419","a college student picked",32
"420","a columnist at the",31
"421","a combined capacity to",42
"422","a combined total of",52
"423","a combo of you",38
"424","a comefrombehind sweepclinching win",22
"425","a comfy couch and",63
"426","a comic into the",40
"427","a comment especially from",16
"428","a comment i just",36
"429","a commercial success and",35
"430","a commitment eventually ill",38
"431","a commitment of at",39
"432","a commitment to mesa",40
"433","a common xml representation",39
"434","a communal rice bowl",39
"435","a community event that",47
"436","a community ought to",38
"437","a community outreach event",24
"438","a community service project",34
"439","a community that comes",33
"440","a company a bit",22
"441","a company breeds reluctance",33
"442","a company of players",22
"443","a complete overreaction which",26
"444","a completely different topic",24
"445","a compost pile or",29
"446","a compromise between energy",23
"447","a computer generation as",39
"448","a computer monitor that",56
"449","a computers usb port",39
"450","a concept but after",31
"451","a concern for two",32
"452","a concern for us",27
"453","a concern goldman said",15
"454","a concern of residents",37
"455","a concert or just",37
"456","a conclusion now wouldnt",38
"457","a conference call with",36
"458","a confidence coach or",30
"459","a conflict zone in",42
"460","a confluence of political",33
"461","a congresswoman this city",35
"462","a consistent and the",31
"463","a constitutional provision requiring",34
"464","a consultant the most",32
"465","a contemporary gospel song",16
"466","a contemporary story i",43
"467","a contract extension through",21
"468","a contract with fox",41
"469","a control freak and",31
"470","a controversial decision for",20
"471","a convenient way of",18
"472","a conversation hes having",16
"473","a conversation the editor",16
"474","a cool person to",23
"475","a copy of the",33
"476","a corker sharp lively",31
"477","a corner said schillinger",17
"478","a corset because it",38
"479","a corset for this",38
"480","a cottage rental operation",38
"481","a counter a counter",59
"482","a counter their counter",59
"483","a countertop or table",39
"484","a country practically on",31
"485","a county event where",42
"486","a couple cows so",47
"487","a couple days ago",69
"488","a couple great restaurants",18
"489","a couple hours listening",63
"490","a couple months and",26
"491","a couple of days",15
"492","a couple of early",41
"493","a couple of extra",16
"494","a couple of fridays",15
"495","a couple of his",19
"496","a couple of hours",39
"497","a couple of months",22
"498","a couple of players",16
"499","a couple of them",42
"500","a couple of weeks",15
"501","a couple of wins",27
"502","a couple or hr",28
"503","a couple other dvds",19
"504","a couple others and",16
"505","a couple others want",26
"506","a couple that dont",25
"507","a court ruling that",34
"508","a courtroom in munich",16
"509","a cover letter or",18
"510","a cow bell at",57
"511","a crab salad and",16
"512","a crack at this",17
"513","a crack in the",55
"514","a crazy busy week",17
"515","a crazy but fulfilling",33
"516","a crazy season for",64
"517","a crazy wild ride",33
"518","a creature cage fight",42
"519","a credit to all",21
"520","a credit to them",37
"521","a crew from the",34
"522","a crew of musicians",25
"523","a crib something like",36
"524","a crime but stressed",19
"525","a criminal investigation into",24
"526","a crisis they werent",17
"527","a crisis we didnt",35
"528","a crisp with the",36
"529","a critical issue with",20
"530","a crop or logging",26
"531","a cross between the",58
"532","a cross from forward",53
"533","a cross islip terrace",37
"534","a cross road many",19
"535","a crucial role in",38
"536","a crush on meanwhile",16
"537","a crush on u",45
"538","a crust from scratch",17
"539","a cs blow out",26
"540","a cult film and",25
"541","a cup measuring cup",30
"542","a cupcake that was",29
"543","a curiosity because so",17
"544","a current slate of",21
"545","a cushion of feathers",34
"546","a cute gurl but",43
"547","a cuyahoga county commissioner",17
"548","a cy youngcaliber pitcher",38
"549","a dab picture comes",49
"550","a daily ritual that",30
"551","a dam and reservoir",48
"552","a damned good ting",59
"553","a damp patch on",34
"554","a dark horse pick",23
"555","a darkness you cant",31
"556","a dash of steve",39
"557","a daughter it just",55
"558","a day and each",26
"559","a day and he",39
"560","a day at the",59
"561","a day in the",35
"562","a day late and",17
"563","a day later the",36
"564","a day of gasoline",16
"565","a day off now",56
"566","a day on my",26
"567","a day or two",33
"568","a day that changed",23
"569","a day to pack",31
"570","a dead body on",32
"571","a deadline weekend ya",38
"572","a deadlock at intermission",46
"573","a deal like this",27
"574","a deal tweet us",51
"575","a dearborn democrat as",41
"576","a death ray a",32
"577","a death ray oh",32
"578","a debate on incarceration",32
"579","a decade but that",42
"580","a decade earlier latterday",26
"581","a decade later and",32
"582","a decision against the",27
"583","a decision of what",28
"584","a decision to treat",19
"585","a decision will be",22
"586","a deeply experimental record",34
"587","a deer shot with",33
"588","a defense with elvis",39
"589","a defensive replacement in",38
"590","a delayed flight from",40
"591","a delicately curved black",19
"592","a delicious meal and",43
"593","a demand for justice",20
"594","a demanding art form",49
"595","a demented lion tamer",52
"596","a democrat or a",29
"597","a dentist really bad",33
"598","a department chair in",45
"599","a department chair opening",45
"600","a department store i",45
"601","a deposition this year",32
"602","a deputy sheriff killed",24
"603","a design competition forthwith",15
"604","a desire to see",18
"605","a desk all day",23
"606","a destination for higher",36
"607","a destination they cant",27
"608","a deterioration that corrupts",17
"609","a detour from the",35
"610","a detriment to us",39
"611","a detstyle army unit",27
"612","a developer and well",37
"613","a developer took title",34
"614","a device the ftxl",18
